longname,shortname,year,chapid
"Pilgrim, DH (ed) (1987) Australian Rainfall and Runoff - A Guide to Flood Estimation, Institution of Engineers, Australia, Barton, ACT, 1987.",Pilgrim,1987,arr_1987
"Abbs, D. and Rafter, T. (2008), The Effect of Climate Change on Extreme: Rainfall Events in the Westernport Region, CSIRO",Abbs and Rafter,2008,b1_c2_r1
"Herman, J. D.,  Zeff,  H.B., Reed, P. M. and Characklis, G. W. (2014), Beyond optimality: Multistakeholder robustness tradeoffs for regional water portfolio planning under deep uncertainty, Water Resour Res, 50(10), pp.7692-7713, 10.1002/2014WR015338",Herman et al,2014,b1_c2_r10
"Hunter, J. (2007), Estimating sea-level extremes in a world of uncertain sea-level rise, 5th Flood Management Conference, Warrnambool, Australia, [Accessed 12 October. 2007]",Hunter ,2007,b1_c2_r11
"IPCC (Intergovernmental Panel on Climate Change) (2007), Climate Change 2007, Synthesis Report. Contribution of Working Groups I, II and III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change [Core Writing Team, Pachauri, R.K and Reisinger, A. (eds.)]. IPCC, Geneva, Switzerland, 104 pp.",IPCC,2007,b1_c2_r12
"IPCC (Intergovernmental Panel on Climate Change) (2012), Workshop Report of the Intergovernmental Panel on Climate Change Workshop on Socio-Economic Scenarios [Edenhofer, O., R. Pichs-Madruga, Y. Sokona, V. Barros, C.B. Field, T. Zwickel, S. Schloemer, K. Ebi, M. Mastrandrea, K. Mach, C. von Stechow (eds.)]. IPCC Working Group III Technical Support Unit, Potsdam Institute for Climate Impact Research, Potsdam Germany, pp. 51.",IPCC,2012,b1_c2_r13
"Jones, M.R., (2012), Characterising and modelling time-varying rainfall extremes and their climatic drivers. PhD Thesis. Newcastle University.",Jones et al ,2012,b1_c2_r14
"Langbein, W.B. (1949), Annual floods and the partial-duration flood series, Transactions, American Geophysical Union, Vol 30, No. 6, pp.879-881",Langbein,1949,b1_c2_r15
"Nicholls, N. and Alexander, L. (2007), Has the climate become more variable or extreme? Progress 1992?2006, Progress in Physical Geography, 31, pp.77?87.",Nicholls and Alexander,2007,b1_c2_r16
"Pappenberger, F. and Beven, K. J. (2006), Ignorance is bliss: Or seven reasons not to use uncertainty analysis, Water Resour Res, 42(5), 8, W05302 10.1029/2005wr004820",Pappenberger and Beven,2006,b1_c2_r17
"Renard, B., Kavetski, D., Kuczera, G., Thyer, M. and Franks, S.W.  (2010), Understanding predictive uncertainty in hydrologic modeling: The challenge of identifying input and structural errors, Water Resour. Res., 46(5), W05521, 10.1029/2009wr008328",Renard et al,2010,b1_c2_r19
"Ang, A. and Tang, W. (2007), Probability Concepts in Engineering, 2nd edition ed. Wiley, United States of America.",Ang and Tang,2007,b1_c2_r2
Trenberth KE (2011): Changes in precipitation with climate change. Clim Res 47:123-138.,Trenberth,2011,b1_c2_r20
"Uusitalo, L., Lehikoinen, A., Helle, I. and Myrberg, K. (2015), An overview of methods to evaluate uncertainty of deterministic models in decision support, Environmental Modelling & Software, 63, pp.24-31, http://dx.doi.org/10.1016/j.envsoft.2014.09.017",Uusitalo et al,2015,b1_c2_r21
"Westra, S., L.V. Alexander, F.W. Zwiers (2013): Global increasing trends in annual maximum daily precipitation. Journal of Climate, in press, doi:10.1175/JCLI-D-12-00502.1",Westra et al,2013,b1_c2_r22
"White, C.J., Grose, M.R, Corney, S.P., Bennett, J.C., Holz, G.K., Sanabria, L.A., McInnes, K.L., Cechet, R.P., Gaynor, S.M. and Bindoff, N.L. (2010), Climate Futures for Tasmania: extreme events technical report, Antarctic Climate and Ecosystems Cooperative Research Centre, Hobart, Tasmania.",White et al,2010,b1_c2_r23
"Wood, E. F. and Rodríguez-Iturbe, I. (1975), Bayesian inference and decision making for extreme hydrologic events, Water Resour Res, 11(4), pp.533-542, 10.1029/WR011i004p00533",Wood and Rodríguez-Iturbe,1975,b1_c2_r24
"CSIRO (2012): Climate and water availability in south-eastern Australia: A synthesis of findings from Phase 2 of the South Eastern Australian Climate Initiative (SEACI), CSIRO, Australia, September 2012, 41 pp.",CSIRO,2012,b1_c2_r25
"Beven, K. (2006), A manifesto for the equifinality thesis, Journal of  Hydrolology, 320, pp.18-36.",Beven,2006,b1_c2_r26
"Beven, K. (1989), Changing ideas in hydrology - The case of physically-based models, Jounral of Hydrology, 105(1-2), pp.157-172, 10.1016/0022-1694(89)90101-7",Beven,1989,b1_c2_r27
"Oreskes, N.,  Shrader-Frechette, K. and Belitz, K. (1994), Verification, Validation, and Confirmation of Numerical Models in the Earth Sciences, Science  New Series, 263, pp.641-646",Oreskes et al,1994,b1_c2_r28
"Le Coz, J. ; Renard, B. ; Bonnifait, L. ; Branger, F. ; Le Boursicaud, R. (2013). Uncertainty Analysis of Stage-Discharge Relations using the BaRatin Bayesian Framework. 35th IAHR World Congress, 08/09/2013 - 13/09/2013, Chengdu, China.",Le Coz et al,2013,b1_c2_r29
"Bates, B. C., Z. W. Kundzewicz, S. Wu, and J. P. Palutikof (2008): Climate Change and Water. Technical Paper of the Intergovernmental Panel on Climate Change, Rep., 210 pp, IPCC Secretariat, Geneva.",Bates et al ,2008,b1_c2_r3
"Botto, A., Ganora, D., Laio, F. and Claps, P. (2014), Uncertainty compliant design flood estimation, Water Resour Res, 50(5), pp.4242-4253. 10.1002/2013WR014981",Botto et al,2014,b1_c2_r4
"Buytaert, W. and Beven, K. (2009), Regionalization as a learning process, Water Resour Res, 45(11), 10.1029/2008WR007359",Buytaert and Beven,2009,b1_c2_r5
"Church, J.A., White, N.J., Hunter, J.R. and McInnes, K.L. (2012), Sea level. In A Marine Climate Change Impacts and Adaptation Report Card for Australia 2012 (Eds. E.S. Poloczanska, A.J. Hobday and A.J. Richardson). Available at: http://www.oceanclimatechange.org.au ISBN: 978-0-643-10928-5",Church et al,2012,b1_c2_r6
"CSIRO and Australian Bureau of Meteorology (2007), Climate Change in Australia, CSIRO and Bureau of Meteorology Technical Report, p.140. www.climatechangeinaustralia.gov.au",CSIRO and Australian Bureau of Meteorology,2007,b1_c2_r7
"Fowler, H.J. and Ekstrom, M. (2009), Multi-model ensemble estimates of climate change impacts on UK seasonal precipitation extremes, International Journal of Climatology, 29, pp.385-416.",Fowler and Ekstrom,2009,b1_c2_r8
"Groisman, P.Y, Karl T.R., Easterling D.R., Knight R.W., Jamason P.F., Hennessy K.J., Suppiah R., Page C.M., Wibig J., Fortuniak K., Razuvaev V.N., Douglas A., Forland E. and Zhai, P.M. (1999), Changes in the probability of heavy precipitation: Important indicators of climatic change,Climatic Change, 42, pp.243-283.",Groisman et al,1999,b1_c2_r9
"Blazkova, S. and Beven, K. (2004), Flood frequency estimation by continuous simulation of subcatchment rainfalls and discharges with the aim of improving dam safety assessment in a large basin in the Czech Republic. Journal of Hydrology, 292(1-4), pp.153-172. doi:10.1016/j.jhydrol.2003.12.025",Blazkova and Beven,2004,b1_c3_r1
"Haan, C. and Schulze, R. (1987), Return Period Flow Prediction with Uncertain Parameters. American Society of Agricultural Engineers, 30(3), 665-669. doi:10.1109/IWCFTA.2011.52",Haan and Schulze,1987,b1_c3_r10
"Herschy, R. (2003): World catalogue of maximum observed floods. IAHS Publ No. 284, 285 pp.",Herschy,2003,b1_c3_r11
"Kuczera, G., Lambert, M.F., Heneker, T. Jennings, S., Frost, A. and Coombes, P. (2006) Joint probability and design storms at the crossroads, Australian Journal of Water Resources, 10(2), 5-21.",Kuczera et al,2006,b1_c3_r12
"McKerchar, A. I. and Macky, G. H. (2001), Comparison of a regional method for estimating design floods with two rainfall-based methods. Journal of Hydrology New Zealand, 40(2), 129-138.",McKerchar and Macky,2001,b1_c3_r13
"MGS Engineering Consultants (2009): General Stochastic Event Flood Model (SEFM), Technical Support Model. Manual prepared for the United States Department of Interior, Bureau of Reclamation Flood Hydrology Group.",MGS Engineering Consultants,2009,b1_c3_r14
"Nathan, R.J., Weinmann P.E. and Gato S. (1994), A quick method for estimation of the probable maximum flood in southeast Australia. International Hydrology and Water Resources Symposium: Water Down Under, November, Adelaide, I.E. Aust. Natl. Conf. Publ. No. 94, pp.229-234.",Nathan et al,1994,b1_c3_r15
"Paquet, E., Garavaglia, F., Gailhard, J. and Garçon, R. (2013), The SCHADEX method: a semi-continuous rainfall-runoff simulation for extreme flood estimation, J Hydrol Vol 495, 23-37.",Paquet et al,2013,b1_c3_r16
"Rahman, A., Haddad, K., Haque, M., Kuczera, G. and Weinmann, E. (2014), Project 5 Regional Flood Methods: Stage 3, report prepared for Australian Rainfall and Runoff Revision Process.",Rahman et al,2014,b1_c3_r17
"Sih, K., Hill, P. and Nathan, R. J. (2008), Evaluation of simple approaches to incorporating variability in design temporal patterns. Proc Water Down Under Hydrology and Water Resources Symposium, pp.1049-1059.",Sih et al,2008,b1_c3_r18
"Smithers, J.C. (2012), Methods for design flood estimation in South Africa, Water SA, 38(4), pp.633-646.",Smithers,2012,b1_c3_r19
"Blazkova, S. and Beven, K. (2009), A limits of acceptability approach to model evaluation and uncertainty estimation in flood frequency estimation by continuous simulation: Skalka catchment, Czech Republic, Water Resour. Res., 45, W00B16, doi:10.1029/2007WR006726.",Blazkova and Beven,2009,b1_c3_r2
"Weinmann, P.E., Rahman A., Hoang, T.M.T., Laurenson, .E.M., Nathan, R.J. (2002), Monte Carlo simulation of flood frequency curves from rainfall - the way ahead, Australian Journal of Water Resources, IEAust, 6(1), pp.71-80.",Weinmann et al,2002,b1_c3_r20
"WMAwater, (2015) Australian Rainfall and Runoff Revision Project 3: Temporal Patterns of Rainfall, Part 3 - Preliminary Testing of Temporal Pattern Ensembles, Stage 3 Report, October 2015",WMA Water,2015,b1_c3_r21
"Cameron, D., Beven, K. and Naden, P. (2000), Flood frequency estimation by continuous simulation under climate change (with uncertainty), Hydrol. Earth Syst. Sci., 4, pp.393-405, doi:10.5194/hess-4-393-2000.",Cameron et al,2000,b1_c3_r3
"Castellarin, A. (2007), Probabilistic envelope curves for design flood estimation at ungauged sites. Water Resources Research, 43(4), pp.1-12. doi:10.1029/2005WR004384",Castellarin,2007,b1_c3_r4
"Chiew, F.H.S. (2010), Lumped Conceptual Rainfall-Runoff Models and Simple Water Balance Methods: Overview and Applications in Ungauged and Data Limited Regions. Geography Compass, 4(3), pp.206-225. doi:10.1111/j.1749-8198.2009.00318.x",Chiew,2010,b1_c3_r5
"Boughton, W. and Droop, O. (2003), Continuous simulation for design flood estimation - a review, Environmental Modelling and Software, 18, pp.309-318.",Boughton and Droop,2003,b1_c3_r6
"Cordery, I. and Pilgrim, D.H. (2000), The State of the Art of Flood Prediction. In: Parker DJ (ed.) Floods. Volume II. Routledge, London. pp.185-197.",Cordery and Pilgrim,2000,b1_c3_r7
"Ling, F., Pokhrel, P., Cohen, W., Peterson, J., Blundy, S. and Robinson, K. (2015), Australian Rainfall and Runoff Project 12 - Selection of Approach and Project 8 - Use of Continuous Simulation for Design Flow Determination, Stage 3 Report.",Ling et al,2015,b1_c3_r8
"Feldman, A.D. (2000), Hydrologic Modeling System HEC-HMS Technical Reference Manual. CDP-74B, U.S. Army Corps of Engineers.",Feldman,2000,b1_c3_r9
"Abbs and Rafter (2009), Impact of Climate Variability and Climate Change on Rainfall Extremes in Western Sydney and Surrounding Areas: Component 4 - dynamical downscaling, CSIRO",Abbs and Rafter,2009,b1_c4_r1
"Hersh, E. S. (2012), The long tail of hydroinformatics: Implementing biological and oceanographic information in hydrologic information systems.Hunter, J., (2007): Estimating sea-level extremes in a world of uncertain sea-level rise [http://staff.acecrc.org.au/~johunter/vic_flood_10102007_v12.pdf], 5th Flood Management Conference, Warrnambool, Australia, 9-12 October 2007.",Hersh,2012,b1_c4_r10
"IPCC (Intergovernmental Panel on Climate Change) (2001): Climate Change 2001, The Scientific Basis. Contribution of Working Group I to the Third Assessment Report of the Intergovernmental Panel on Climate Change [Houghton, J.T.,Y. Ding, D.J. Griggs, M. Noguer, P.J. van der Linden, X. Dai, K. Maskell, and C.A. Johnson (eds.)]. Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 881pp",IPCC,2001,b1_c4_r11
"IPCC (Intergovernmental Panel on Climate Change) (2007): Climate Change 2007, Synthesis Report. Contribution of Working Groups I, II and III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change [Core Writing Team, Pachauri, R.K and Reisinger, A. (eds.)]. IPCC, Geneva, Switzerland, 104 pp.",IPCC,2007,b1_c4_r12
"IPCC (Intergovernmental Panel on Climate Change) (2012), Workshop Report of the Intergovernmental Panel on Climate Change Workshop on Socio-Economic Scenarios [Edenhofer, O., R. Pichs-Madruga, Y. Sokona, V. Barros, C.B. Field, T. Zwickel, S. Schloemer, K. Ebi, M. Mastrandrea, K. Mach, C. von Stechow (eds.)]. IPCC Working Group III Technical Support Unit, Potsdam Institute for Climate Impact Research, Potsdam Germany, pp. 51.",IPCC,2012,b1_c4_r13
